id,case_type,question,strategy,guide_note,sort_order,updated_at
23,基础问题,这座建筑建于什么时期？,AI 自动回答，导游在追问时补充本地故事。,回答应绑定知识库来源，避免给出未经确认的具体年份。,1,2026-05-28 00:19:27
24,文化深度问题,为什么建筑和宗教文化关系这么紧密？,AI 先回答，真人导游补充具体院落、节庆和游客文化背景。,适合由导游结合现场观察点做二次解释。,2,2026-05-28 00:19:27
25,情绪安抚问题,游客因为排队和语言误解感到不满。,建议真人导游介入，AI 提供摘要和替代路线。,先安抚情绪，再说明等待原因并给出可执行选择。,3,2026-05-28 00:19:27
26,文化禁忌问题,游客误解了某个礼俗禁忌。,真人导游主导，AI 提供资料辅助。,用温和语气解释背景，避免让游客感到被指责。,4,2026-05-28 00:19:27
27,事实不确定问题,游客询问某个传说是否真实发生。,AI 区分历史事实、民间叙事和地方记忆，导游现场补充。,明确传说的文化价值，不把传说当作史实。,5,2026-05-28 00:19:27
28,安全提醒问题,游客想进入未开放湿地或田埂拍照。,AI 给出规则说明，真人导游现场引导替代观景点。,先解释生态与农事边界，再给出可拍摄位置。,6,2026-05-28 00:19:27
29,食品安全问题,游客询问能否自行采摘野生菌食用。,AI 提供食品安全原则，真人导游明确禁止自行采食并推荐正规餐馆。,必须强调不采不食不明菌类，必要时引用知识库安全条目。,7,2026-05-28 00:19:27
30,宗教空间问题,游客想触摸佛像或法器祈福拍照。,AI 提供礼仪说明，真人导游现场温和制止并解释原因。,先说明尊重宗教空间，再提供可拍摄区域和替代互动方式。,8,2026-05-28 00:19:27
31,边境管理问题,游客在口岸附近询问能否直播拍摄。,AI 只给通用安全提醒，真人导游以现场规定为准处理。,避免提供敏感或未经确认信息，引导到允许拍摄的公共区域。,9,2026-05-28 00:19:27
32,高原健康问题,游客在香格里拉出现头痛胸闷。,真人导游主导处理，AI 辅助生成行程调整和注意事项。,暂停行程、观察状态、必要时求助医疗资源，不鼓励硬撑。,10,2026-05-28 00:19:27
33,动物保护问题,游客想投喂或呼喊吸引野生动物。,AI 说明保护原则，导游现场制止并转为自然教育讲解。,强调安全距离、动物福利和生态观察礼仪。,11,2026-05-28 00:19:27
34,购物争议问题,游客质疑银饰、茶叶或手工艺价格。,AI 生成中立解释，真人导游提醒正规渠道和理性消费。,避免替商家背书，不承诺鉴定结论，引导游客保留票据。,12,2026-05-28 00:19:27
35,传说误读问题,游客把阿诗玛传说理解成确切历史。,AI 区分传说和史实，导游补充民间叙事价值。,强调传说是地方身份和审美表达，不等同于地质或历史事实。,13,2026-05-28 00:19:27
36,社区边界问题,游客想进入居民院落或村民厨房参观。,AI 给出尊重隐私原则，导游联系开放体验点或替代路线。,先肯定兴趣，再说明私人空间边界，避免直接闯入。,14,2026-05-28 00:19:27
37,多语误解问题,游客因翻译词汇产生文化误会。,AI 生成简明解释和多语改写，真人导游确认游客是否理解。,用短句复述关键点，避免术语堆叠，必要时换例子说明。,15,2026-05-28 00:19:27
38,天气突变问题,雨季山地路线遇到强降雨或落石风险。,真人导游主导调整行程，AI 辅助给出替代室内或低风险路线。,安全优先，及时取消危险路段，不用原计划绑架行程。,16,2026-05-28 00:19:27
