id,filter_type,value,sort_order
47,visitor_types,第一次来云南,1
48,visitor_types,亲子游客,2
49,visitor_types,深度文化游客,3
50,visitor_types,摄影爱好者,4
51,visitor_types,东南亚游客团,5
52,visitor_types,高校研学团,6
53,visitor_types,银发游客,7
54,visitor_types,美食体验游客,8
55,visitor_types,国际游客,9
56,visitor_types,银发游客,10
57,visitor_types,自然教育家庭,11
58,visitor_types,边境文化游客,12
59,visitor_types,古镇慢游游客,13
60,visitor_types,非遗体验游客,14
61,visitor_types,高原观光游客,15
62,interests,民族文化,16
63,interests,建筑历史,17
64,interests,自然风光,18
65,interests,饮食体验,19
66,interests,节庆活动,20
67,interests,非遗体验,21
68,interests,生态研学,22
69,interests,宗教礼仪,23
70,interests,城市记忆,24
71,interests,茶文化,25
72,interests,边境文旅,26
73,interests,摄影秩序,27
74,interests,食品安全,28
75,interests,社区礼仪,29
76,interests,高原安全,30
