id,language,scene,visitor_type,question,reference_answers,sort_order,updated_at
ai-correction-training,中文,导游端 AI 回答修正,实训学生,AI 把民间传说说成真实历史，学生导游应如何修正？,把它改一下。|区分历史事实和民间叙事，并补充来源。|我会把表述改为“这属于当地民间叙事或地方记忆”，避免当作确证史实。随后补充可靠知识来源，说明传说的文化价值、审美表达和与景观想象的关系。,14,2026-05-28 00:19:27
banna-etiquette,中文,西双版纳寺院参观,东南亚游客团,游客想在佛寺内近距离拍摄佛像和僧侣，导游应该如何提醒？,请大家注意安静，不要乱拍。|可以解释寺院礼仪，提醒着装、拍照距离和听从现场人员安排。|我会先说明这里是宗教空间，请游客降低音量、保持距离，不触碰佛像和法器；如需拍摄，应先确认允许范围，避免打扰宗教活动和个人隐私。,2,2026-05-28 00:19:27
dali-guide-basic,中文,大理古城接待,深度文化游客,为什么这里的建筑和地方信仰关系这么紧密？,这里历史很久，建筑有民族特色，游客可以慢慢参观。|白族民居的院落、照壁和题字体现了居住方式，也和家族记忆、礼俗活动有关。|建筑不只是居住空间，也承载地方信仰、家族记忆和社区生活。我会先请游客观察照壁、门楼和院落，再用三道茶等礼俗说明白族文化如何进入日常生活。,1,2026-05-28 00:19:27
dehong-border-service,中文,德宏边境游客接待,东南亚游客团,游客想在口岸附近拍摄执勤区域，导游应该怎么处理？,告诉他们不要拍。|说明边境区域有管理要求，引导到允许拍摄的位置。|我会明确说明口岸和执勤区域涉及边境管理，不适合拍摄或直播。随后引导游客到允许的城市景观和文化展示点拍照，并补充德宏多民族交流和口岸城市的讲解。,9,2026-05-28 00:19:27
elderly-highland-care,中文,香格里拉高原接待,银发游客,银发游客在高原路线中出现不适，导游应该怎么处理？,让他休息一下。|停止赶路，观察状态，必要时寻求医疗帮助。|我会立即放慢或暂停行程，安排休息和保暖，观察呼吸、头痛、胸闷等情况。若症状明显或持续，应联系景区或医疗资源，不再继续高强度参观。,16,2026-05-28 00:19:27
food-allergy-service,中文,云南美食体验接待,国际游客,游客想尝试野生菌火锅，导游需要提前说明什么？,云南菌子很好吃，但要煮熟。|要询问过敏，提醒正规餐馆和充分烹饪。|我会先询问游客是否有菌类或辛辣过敏，再说明野生菌必须在正规餐馆充分烹饪，不建议自行采摘或食用不明菌类。体验重点可以放在食材季节、烹饪方式和食品安全。,6,2026-05-28 00:19:27
international-food-service,中文,国际游客餐饮接待,国际游客,游客有宗教饮食禁忌但想尝试本地小吃，导游如何服务？,问清楚不能吃什么。|先确认禁忌和过敏，再推荐合适替代选择。|我会先确认游客的宗教饮食禁忌、过敏和可接受食材，再向餐馆核实配料与烹饪方式。讲解小吃文化时不强迫品尝，提供可替代选择并尊重游客决定。,15,2026-05-28 00:19:27
jianshui-pottery-workshop,中文,建水紫陶工坊体验,高校研学团,学生想拍摄工坊里的所有制作细节，导游如何说明边界？,可以拍但要问一下。|提醒先征得工坊同意，不触碰未完成作品。|我会说明紫陶制作包含工艺知识和劳动成果，拍摄前应征得工坊许可，不触碰半成品，也不长时间占用师傅操作位置。可以重点观察拉坯、刻填、烧制和磨光等公开环节。,8,2026-05-28 00:19:27
kunming-seagull-etiquette,中文,昆明翠湖观鸟接待,亲子游客,孩子想追逐和投喂红嘴鸥，导游应该如何提醒？,提醒不要追鸟。|说明候鸟需要安静环境，不追逐不乱投喂。|我会先引导孩子观察红嘴鸥的飞行和停留，再说明候鸟需要安全距离。请大家不追逐、不惊吓、不随意投喂，把观鸟变成了解城市湿地和迁徙保护的亲子任务。,7,2026-05-28 00:19:27
lijiang-community-boundary,中文,丽江古城夜间带团,年轻自由行游客,游客想进入居民院落拍照，导游如何既保持友好又说明边界？,不要进去拍照。|可以提醒这是居民生活空间，建议选择开放展示点拍摄。|我会先肯定游客对建筑的兴趣，再说明古城仍是社区生活空间，未开放院落不适合进入拍摄。可以引导他们去公共街巷、开放展馆或经允许的民居体验点观察建筑细节。,4,2026-05-28 00:19:27
lugu-mosuo-boundary,中文,泸沽湖摩梭文化讲解,深度文化游客,游客用猎奇语气追问走婚细节，导游如何回答才合适？,简单解释一下习俗。|避免低俗化，强调家庭结构和文化背景。|我会把话题从猎奇细节转回文化理解，说明相关习俗需要放在亲属制度、家庭结构、社区生活和湖泊生态背景中理解。讲解应尊重当地人，不把文化差异当作娱乐谈资。,11,2026-05-28 00:19:27
nujiang-road-safety,中文,怒江峡谷山地路线,摄影爱好者,游客为了拍峡谷想越过护栏靠近崖边，导游如何劝阻？,提醒危险。|说明峡谷道路和崖边风险，建议在指定观景点拍摄。|我会立即制止越过护栏的行为，说明峡谷地形、落石和湿滑路面的风险。可以安排游客在指定观景台使用长焦或调整角度拍摄，把安全放在摄影效果之前。,10,2026-05-28 00:19:27
rainforest-wildlife,中文,西双版纳雨林步道,亲子游客,游客看到昆虫和植物想采集带走，导游如何提醒？,不要拿走。|说明雨林生态需要保护，不能采摘和捕捉。|我会告诉游客雨林中的植物、昆虫和落叶都属于生态系统的一部分，不应采摘或带走。可以用观察记录、拍照和提问替代采集，让孩子理解生物多样性保护。,13,2026-05-28 00:19:27
shaxi-slow-tour,中文,沙溪古镇慢游接待,银发游客,游客觉得古镇不热闹，导游如何提升讲解体验？,说这里比较安静。|引导观察茶马古道、古戏台和街巷生活。|我会说明沙溪的价值在慢游和细节观察，不是热闹型景区。可带游客观察古戏台、寺登街、马帮驿站记忆和院落尺度，让安静成为理解茶马古道和社区生活的入口。,12,2026-05-28 00:19:27
stone-forest-study,中文,石林国际游客讲解,高校研学团,如何同时讲清石林的地质成因和阿诗玛传说？,石林是自然形成的，也有阿诗玛故事。|先讲喀斯特地貌，再说明阿诗玛是当地民间叙事。|我会把科学解释和民间叙事分层讲：先说明石灰岩长期溶蚀形成石林，再介绍阿诗玛传说如何让当地人把景观、情感和身份记忆联系起来。,3,2026-05-28 00:19:27
yuanyang-photo-etiquette,中文,元阳梯田摄影团,摄影爱好者,摄影游客为了取景想走进田埂和村民劳作区，导游怎么处理？,提醒他们注意安全。|说明田埂和农事区域有边界，建议在观景点拍摄。|我会说明梯田是正在使用的农耕系统，不是单纯的摄影布景。请游客不要进入未开放田埂和劳作区，避免踩踏作物或影响水系，可在指定观景台等待光线并使用长焦拍摄。,5,2026-05-28 00:19:27
